"Matview","Update Function","Backfill Function","Depends On","Group","Enabled","Order","adu_related","Notes"
"reports_duplicates","update_reports_duplicates","backfill_reports_duplicates_hourly",,"hourly",TRUE,1,FALSE,
"reports_clean","update_reports_clean","backfill_reports_clean_hourly","reports_duplicates, product_version","hourly",TRUE,2,FALSE,
"product_version","update_product_versions","update_product_versions","ftpscraper","cumulative",TRUE,1,FALSE,
"build_adu","update_build_adu","backfill_build_adu","raw_adu","daily",TRUE,2,TRUE,
"product_adu","update_adu","backfill_adu","raw_adu","daily",TRUE,1,TRUE,
"crashes_by_user","update_crashes_by_user","backfill_crashes_by_user","product_adu","daily",TRUE,5,TRUE,
"crashes_by_user_build","update_crashes_by_user_build","backfill_crashes_by_user_build","build_adu","daily",TRUE,6,TRUE,
"correlations","update_correlations","backfill_correlations","NA","lastday",TRUE,99,FALSE,
"correlations_addons","update_correlations","backfill_correlations","NA","lastday",TRUE,99,FALSE,
"correlations_cores","update_correlations","backfill_correlations","NA","lastday",TRUE,99,FALSE,
"correlations_modules","update_correlations","backfill_correlations","NA","lastday",FALSE,99,FALSE,
"daily_hangs","update_hang_report","backfill_hang_report",,"daily",TRUE,99,FALSE,
"home_page_graph","update_home_page_graph","backfill_home_page_graph","product_adu","daily",TRUE,7,TRUE,
"home_page_graph_build","update_home_page_graph_build","backfill_home_page_graph_build","build_adu","daily",TRUE,8,TRUE,
"nightly_builds","update_nightly_builds","backfill_nightly_builds",,"daily",TRUE,99,FALSE,
"signature_products","update_signatures","backfill_signature_counts",,"daily",TRUE,9,FALSE,
"signature_products_rollup","update_signatures","backfill_signature_counts",,"daily",TRUE,10,FALSE,
"tcbs","update_tcbs","backfill_tcbs",,"daily",TRUE,3,FALSE,
"tcbs_build","update_tcbs_build","backfill_tcbs_build",,"daily",TRUE,4,FALSE,
"explosiveness","update_explosiveness","backfill_explosiveness","tcbs, build_adu","lastday",TRUE,99,TRUE,
"rank_compare","update_rank_compare","backfill_rank_compare","tcbs","lastday",TRUE,99,FALSE,
